account_id,account_type,age_days,customer_segment,risk_prior,location,business_profile,has_business_profile
ACC_000459,business,2718,small_business,0.09,LOC_04,online_merchant,1
ACC_000460,individual,3462,retail,0.42,LOC_04,none,0
ACC_000461,individual,2708,retail,0.212,LOC_07,none,0
ACC_000462,individual,1050,retail,0.252,LOC_19,none,0
ACC_000463,individual,2756,retail,0.072,LOC_14,none,0
ACC_000464,individual,3512,retail,0.157,LOC_04,none,0
ACC_000465,individual,515,retail,0.162,LOC_08,none,0
ACC_000466,individual,2905,retail,0.041,LOC_13,none,0
ACC_000467,individual,945,retail,0.04,LOC_18,none,0
ACC_000468,individual,1648,retail,0.023,LOC_04,none,0
ACC_000469,individual,886,student,0.046,LOC_06,none,0
ACC_000470,individual,1393,retail,0.008,LOC_02,none,0
ACC_000471,individual,1531,student,0.116,LOC_15,none,0
ACC_000472,individual,1216,retail,0.419,LOC_08,none,0
ACC_000473,individual,2910,retail,0.142,LOC_18,none,0
ACC_000474,individual,114,student,0.158,LOC_06,none,0
ACC_000475,business,2498,small_business,0.073,LOC_04,online_merchant,1
ACC_000476,business,3296,small_business,0.032,LOC_15,retail_store,1
ACC_000477,individual,1488,retail,0.2,LOC_09,none,0
ACC_000478,individual,461,retail,0.045,LOC_09,none,0
ACC_000479,individual,1900,retail,0.014,LOC_13,none,0
ACC_000480,business,1313,small_business,0.135,LOC_03,online_merchant,1
ACC_000481,individual,2834,retail,0.037,LOC_03,none,0
ACC_000482,individual,3504,retail,0.334,LOC_01,none,0
ACC_000483,business,510,corporate,0.046,LOC_13,retail_store,1
ACC_000484,individual,71,retail,0.099,LOC_09,none,0
ACC_000485,individual,1757,student,0.19,LOC_04,none,0
ACC_000486,individual,36,student,0.008,LOC_15,none,0
ACC_000487,individual,2433,retail,0.075,LOC_09,none,0
ACC_000488,business,1950,corporate,0.161,LOC_13,online_merchant,1
ACC_000489,individual,2510,retail,0.208,LOC_03,none,0
ACC_000490,individual,2912,retail,0.149,LOC_12,none,0
ACC_000491,individual,3449,retail,0.225,LOC_10,none,0
ACC_000492,business,2778,corporate,0.251,LOC_01,online_merchant,1
ACC_000493,individual,2833,student,0.047,LOC_17,none,0
ACC_000494,business,888,small_business,0.08,LOC_06,professional_service,1
ACC_000495,individual,1138,retail,0.122,LOC_09,none,0
ACC_000496,individual,2296,student,0.327,LOC_04,none,0
ACC_000497,individual,2171,retail,0.044,LOC_04,none,0
ACC_000498,individual,3581,retail,0.031,LOC_06,none,0
ACC_000499,individual,933,retail,0.048,LOC_03,none,0
